Bayer Name,Common Name,Apparent V Mag,Distance,Absolute V Mag,Color,Near/Bright
Mu Cas,,5.17,7.55,5.78,0.69,Both
Gliese 514,,9.03,7.62,9.62,1.49,Near
Gliese 673,,7.56,7.71,8.12,1.31,Near
LHS 1070,,15.34,7.56,15.95,1.84,Near
Gliese 701,,9.36,7.73,9.92,1.52,Near
Gliese 480.1,,12.24,8.05,12.71,1.73,Near
AN Sextantis,,9.26,7.7,9.83,1.5,Near
Gliese 54,,9.82,8.23,10.24,1.55,Near
Gliese 1224,,13.48,7.96,13.97,1.96,Near
L 97-12,,14.09,8.17,14.53,0.66,Near
BB Capricornus,,12.01,7.46,12.65,1.66,Near
Gliese 300,,12.13,8.12,12.58,1.68,Near
G 99-47,,14.13,8,14.61,0.64,Near
Gliese 257,,10.85,8.01,11.33,1.69,Near
Chi Draconis,,3.58,8.06,4.05,0.49,Both
Pi3 Ori,,3.19,8.07,3.66,0.44,Both
Gliese 1289,,12.67,8.35,13.06,1.6,Near
Gliese 686,,9.58,8.16,10.02,1.53,Near
p Eri A,,5.69,8.19,6.12,0.86,Both
p Eri B,,5.8,8.19,6.23,0.89,Both
Gliese 884,,7.87,8.23,8.29,1.38,Near
WD 2359-434,,13.05,8.34,13.45,0.07,Near
Gliese 1230,,12.4,7.35,13.07,1.71,Near
TYC 3980-1081-1,,10.64,8.13,11.09,1.24,Near
Gliese 1105,,13.91,8.84,14.18,-0.24,Near
Mu Her,,3.42,8.31,3.82,0.75,Both
Gliese 747,,11.26,8.32,11.66,1.71,Near
Gliese 618,,10.6,7.69,11.17,1.57,Near
Xi Uma,,3.79,8.83,4.06,0.59,Both
Gliese 486,,11.4,8.08,11.86,1.56,Near
Beta Cvn,,4.25,8.44,4.62,0.61,Both
L 173-19,,12.9,8.21,13.33,0.57,Near
Gliese 1276,,15.66,8.54,16,1.87,Near
CD Ceti,,14,8.61,14.33,1.61,Near
61 Vir,,4.74,8.56,5.08,0.7,Both
Gliese 3454,,13.24,8.58,13.57,1.75,Near
Gliese 185,,8.32,8.38,8.7,1.45,Near
